Q1_i,Q1_ii,Q1_iii,Q1_iv,Q1_i_score,Q1_ii_score,Q1_iii_score,Q1_iv_score,Total_Q1,Q2_i,Q2_ii,Q2_i_score,Q2_ii_score,Total_Q2,Q3_i,Q3_ii,Q3_i_score,Q3_ii_score,Total_Q3,Q4,Q4_score,Total_Q4,Q5_i,Q5_ii,Q5_iii,Q5_i_score,Q5_ii_score,Q5_iii_score,Total_Q5,Q6_i,Q6_ii,Q6_i_score,Q6_ii_score,Total_Q6,Q7,Q7_score,Total_Q7,Total_score,Percentage,RLD_level
වැස්ස,කූඩු කරා,ඉක්මනින්,රෙදි,1,1,1,1,4,කසුන්,පවනි,1,0,1,අම්මා රූපවාහිනිය බලනවා,පුරවැසියන් ඉගෙන ගෙන හොඳින් යහපත් වෙමු,1,0,1,අටයි,1,1,ගස,පාත්තිය,දන්නෙ නෑ,1,0,0,1,අන්නාසි,සපත්තුව,1,1,2,සඳුදා,1,1,11,73.33,Normal
වැසි අවස්ථාවක්,කූඩු වලට,පයින්,රෙදි,1,1,0,1,3,දන්නෙ නෑ,සහන්,0,1,1,දන්නෙ නෑ,දන්නෙ නෑ,0,0,0,අටයි,1,1,ගහ,ගේට්ටුව,දන්නෙ නෑ,1,0,0,1,අන්නාසි,සපත්තු කුට්ටම,1,1,2,සඳුදා,1,1,9,60.0,Average
වැස්ස,කූඩු වලට,කලබලයෙන්,රෙදි,1,1,1,1,4,දන්නෙ නෑ,පහන්,0,0,0,අම්මා රූපවාහිනිය බලනවා,හොඳින් ඉගෙන ගෙන හොඳ යහපත් පුරවැසියෙක්වෙමු,1,0,1,අටයි,1,1,ගස,ගේට්ටුව,මල් පාත්ති,1,0,1,2,අන්නාසි,සපත්තු 2,1,1,2,සඳුදා,1,1,11,73.33,Normal
වැස්ස ගැන,කූඩු වලට,කලබලෙන්,රෙදි,1,1,1,1,4,කසුන්,සහන්,1,1,2,අම්මා රූපවාහිනිය බලනවා,හොඳින්ය ඉගෙන ගෙන යහපත් පුරවැසියෙක් වෙමු,1,1,2,අටයි,1,1,ගසක්,මල් පාත්තියක්,ළිඳක්,1,0,0,1,අන්නාසි,කන්නාඩිය,1,0,1,සඳුදා,1,1,12,80.0,Normal
වැස්ස,කූඩු වලට,දන්නෙ නෑ,රෙදි,1,1,0,1,3,කසුන්,පවනි,1,0,1,අම්මා රූපවාහිනිය බලනවා,හොඳින් ඉගෙන ගෙන යහපත් පුරවැසියෙක් වෙමු,1,1,2,අටයි,1,1,ගහක්,දන්නෙ නෑ,මල් පාත්තියක්,1,0,1,2,අන්නාසි,සපත්තු 2,1,1,2,දන්නෙ නෑ,0,0,11,73.33,Normal
වැස්ස,කූඩුවට,කලබලෙන්,රෙදි,1,1,1,1,4,දන්නෙ නෑ,පවනි,0,0,0,අම්මා රූපවාහිනිය බලනවා,හොඳින් ඉගෙන ගෙන යහපත් පුරවැසියන් වෙමු,1,1,2,දන්නෙ නෑ,0,0,දන්නෙ නෑ,මල් පාත්තිය,ළිඳ,0,0,0,0,අන්නාසි,සපත්තු 2,1,1,2,සෞද,1,1,9,60.0,Average
වැස්ස ගැන,කූඩු වලට,කලබලයෙන්,දන්නෙ නෑ,1,1,1,0,3,දන්නෙ නෑ,පවනි,0,0,0,අම්මා රූපවාහිනිය බලනවා,හොදින් ඉගෙන ගෙන යහපත් පුරවැසියන් වෙමු,1,1,2,අටකි,1,1,ගසකි,පාත්තියකි,ළිඳකි,1,0,0,1,අන්නාසි,සපත්තු 2 කි,1,1,2,සඳුදා,1,1,10,66.67,Average
වැස්ස,කූඩු වලට,කලබලෙන්,රෙදි,1,1,1,1,4,සහන්,දන්නෙ නෑ,0,0,0,අම්මා රූපවාහිනිය බලනවා,දන්නෙ නෑ,1,0,1,දන්නෙ නෑ,0,0,ගස,ගේට්ටුව,පාත්තිය,1,0,1,2,අන්නාසි,සපත්තු 2,1,1,2,සඳුදා,1,1,10,66.67,Average
වැහි අවස්ථාවක් ගැන,ගෙවල් වලට,දන්නෙ නෑ,රෙදි,1,0,0,1,2,පවනි,සහන්,0,1,1,අම්මා රූපවාහිනිය බලනවා,දන්නෙ නෑ,1,0,1,දෙකයි,0,0,ගහ,ගේට්ටුව,මල්,1,0,1,2,අන්නාසි,සපත් 2,1,1,2,සඳුදා,1,1,9,60.0,Average
වැසි අවස්ථාවක්,දන්නෙ නෑ,කලබලයෙන්,දන්නෙ නෑ,1,0,1,0,2,දන්නෙ නෑ,දන්නෙ නෑ,0,0,0,අම්මා රූපවාහිනිය බලනවා,හොඳින් ඉගෙන ගෙන යහපත් පුරවැසියන් වෙමු,1,1,2,අටක්,1,1,දන්නෙ නෑ,ගේට්ටුව,පඳුර,0,0,1,1,අන්නාසි,සසපත්තු 2,1,1,2,සඳුදා,1,1,9,60.0,Average
වැස්සක් ළං වෙනවා,කැදලි වලට,කුඩ ඉහලාගෙන,රෙදි ටික,1,1,0,1,3,පවන්,නිවුණි,0,0,0,අම්මා රූපවාහිනිය බලනවා,යහපත් පුරවැසියන් හොඳින් ඉගෙන ගෙන වෙමු,1,0,1,අටයි,1,1,ගස,ගේට්ටුව,මල් පොකුර,1,0,1,2,ගෝවා,තොප්පිය,0,0,0,සඳුදා,1,1,8,53.33,Average
වැස්ස වෙලාවක,කූඩු වලට,දන්නෙ නෑ,රෙදි ටික,1,1,0,1,3,සහන්,පවණි,0,0,0,අම්මා රූපවාහිනිය බලනවා,දන්නෙ නෑ,1,0,1,අටයි,1,1,ගසක්,දන්නෙ නෑ,මල් ගසක්,1,0,1,2,අන්නාසි,සපත්තු 2,1,1,2,සඳුදා,1,1,10,66.67,Average
