L1Q1,L1Q2,L1Q3,L1Q4,L1Q5,L1Q6,Total Marks,Shape 1,shape 2,shape 3,shape 4,Marks(Level 2),Level 3 Question,Marks (Level 3),Marks For Time,Total,Time,Target
3,2,2,3,2,1,15,4,6,6,4,12,"4, 5, 8, 9",6,2,35,115,1
3,3,2,3,1,2,12,45,5,6,4,6,"1, 2, 3, 4, 5, 6, 7, 8, 10",9,0,27,190,1
3,3,2,1,2,1,15,4,6,6,4,12,"2, 3, 4, 5, 6, 7, 8",15,2,44,115,2
3,3,2,1,2,1,15,4,6,6,4,12,"2, 4, 5, 7, 8, 10",6,2,35,140,1
3,3,2,1,3,2,9,4,6,6,4,12,"4, 5, 8",9,0,30,225,1
3,3,3,4,2,2,9,4,6,6,4,12,"3, 5, 6, 7, 9, 10",6,2,29,140,1
4,3,3,3,2,1,12,4,6,6,4,12,"4, 5, 6",9,0,33,235,1
1,3,2,3,3,2,9,4,6,6,4,12,"1, 3, 6, 7, 9, 10",0,2,23,145,1
3,3,2,3,2,1,18,2,4,4,2,0,"2, 4, 5, 6, 8",3,0,21,165,1
3,3,3,3,2,1,15,4,6,6,4,12,"4, 6, 7, 8",12,0,39,154,1
3,3,3,3,2,1,15,4,6,6,4,12,"4, 5, 6, 7, 8, 9",12,0,39,215,1
3,2,1,3,2,1,12,4,6,6,4,12,"4, 5, 6, 8",12,0,36,176,1
3,3,3,3,2,1,15,4,6,5,3,6,"3, 5, 7, 8",12,0,33,200,1
4,2,1,1,3,3,0,3,3,5,2,0,"1, 2, 4",0,0,0,250,0
1,2,1,1,1,2,0,2,3,3,4,3,"1, 3, 4, 5, 6, 7",12,0,15,310,1
1,3,1,4,1,2,3,3,4,5,4,3,"2, 4, 5, 7, 10",3,0,9,250,0
2,2,3,1,4,3,0,2,4,4,4,3,"2, 3, 4, 5, 6, 10",6,0,9,260,0
4,2,4,3,2,2,6,2,3,2,1,0,"1, 4, 8, 10",0,0,6,295,0
4,2,1,1,1,2,0,2,2,6,4,6,"1, 2,3,4",0,0,6,235,0
4,2,1,1,1,2,0,2,2,6,4,6,"1, 2,3,4",0,0,6,235,0
2,2,2,3,4,4,6,3,7,6,4,6,"1, 2, 3, 4, 5, 6, 7, 8, 9",9,0,21,240,1
2,2,3,1,2,1,6,4,6,6,4,12,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10",6,0,24,235,1
1,3,1,4,1,2,3,3,4,5,4,3,"2, 4, 5, 7, 10",3,0,9,250,0
1,3,2,3,3,3,9,4,5,6,4,9,"3, 4, 5, 6, 7, 8",18,0,36,290,1
1,3,1,4,1,2,3,3,4,5,4,3,"2, 4, 5, 7, 10",3,0,9,250,0
2,2,3,1,3,2,0,4,6,6,4,12,"3, 4, 5, 6, 7, 8",18,0,30,300,1
3,2,2,1,2,1,12,4,6,6,4,12,"1, 2, 3, 4, 5, 6, 7, 8",12,0,36,235,1
1,3,1,4,1,2,3,3,4,5,4,3,"2, 4, 5, 7, 10",3,0,9,250,0
2,3,2,2,1,1,9,4,5,6,3,6,"2, 3, 4, 5, 6, 7",12,2,29,102,1
1,3,1,4,1,2,3,3,4,5,4,3,"2, 4, 5, 7, 10",3,0,9,250,0
1,2,2,1,1,1,6,3,4,4,3,0,"1, 2, 3, 4, 5",3,0,9,170,0
3,3,3,2,2,1,12,6,6,5,4,6,"4, 5, 6, 7, 8, 9",12,2,32,101,1
2,2,1,1,2,1,6,4,5,4,3,3,"2, 3, 4, 5, 6",9,0,18,200,1
3,2,2,2,2,1,12,5,6,6,4,9,"3, 4, 5, 6, 7, 8",18,2,41,103,2
1,1,2,1,1,1,6,3,3,4,2,0,"1, 2, 3, 4",0,2,8,100,0
1,3,1,4,1,2,3,3,4,5,4,3,"2, 4, 5, 7, 10",3,0,9,250,0
3,3,2,2,2,2,12,6,6,6,5,6,"5, 6, 7, 8, 9",9,2,29,97,1
2,2,2,1,1,1,6,4,4,5,3,3,"2, 3, 4, 5, 6",9,2,20,101,1
1,2,1,1,1,1,3,4,6,6,4,12,"1, 2, 3, 4",0,2,15,106,1
3,2,3,2,2,1,9,5,6,6,4,9,"6, 7, 8, 9, 10",3,0,21,210,1
2,1,2,1,2,1,9,4,4,5,3,3,"3, 4, 5, 6, 7, 8",18,2,32,102,1
3,3,3,1,2,2,9,6,6,5,5,3,"7, 8, 9, 10",0,0,12,180,1
1,1,1,1,1,1,3,2,3,3,2,0,"2, 3, 4, 5",6,0,9,210,0
2,2,3,2,1,2,0,5,5,6,4,6,"4, 5, 6, 7, 8",15,0,21,270,1
